item,itemLabel,linkcount
http://www.wikidata.org/entity/Q4789033,Arensky Glacier,9
http://www.wikidata.org/entity/Q4798820,Arthur Glacier,9
http://www.wikidata.org/entity/Q4849878,Balakirev Glacier,9
http://www.wikidata.org/entity/Q4850242,Balchen Glacier,9
http://www.wikidata.org/entity/Q4865396,Bartlett Glacier,9
http://www.wikidata.org/entity/Q4865810,Bartók Glacier,9
http://www.wikidata.org/entity/Q7627318,Stubb Glacier,9
http://www.wikidata.org/entity/Q7636410,Sullivan Glacier,9
http://www.wikidata.org/entity/Q7680505,Tama Glacier,9
http://www.wikidata.org/entity/Q7290215,Ramsey Glacier,9
http://www.wikidata.org/entity/Q7313958,Repeater Glacier,9
http://www.wikidata.org/entity/Q7321410,Rhone Glacier,9
http://www.wikidata.org/entity/Q4892210,Berkovitsa Glacier,9
http://www.wikidata.org/entity/Q4951024,Bowin Glacier,9
http://www.wikidata.org/entity/Q7414859,San Martín Glacier,9
http://www.wikidata.org/entity/Q7426788,Saturn Glacier,9
http://www.wikidata.org/entity/Q7439647,Scylla Glacier,9
http://www.wikidata.org/entity/Q7445271,Sedgwick Glacier,9
http://www.wikidata.org/entity/Q7450861,Sennet Glacier,9
http://www.wikidata.org/entity/Q7899762,Uranus Glacier,9
http://www.wikidata.org/entity/Q7920592,Venus Glacier,9
http://www.wikidata.org/entity/Q7937529,Vivaldi Glacier,9
http://www.wikidata.org/entity/Q7513870,Sikorski Glacier,9
http://www.wikidata.org/entity/Q7513887,Sikorsky Glacier,9
http://www.wikidata.org/entity/Q7578552,Splettstoesser Glacier,9
http://www.wikidata.org/entity/Q5171981,Cornwall Glacier,9
http://www.wikidata.org/entity/Q5210456,Dale Glacier,9
http://www.wikidata.org/entity/Q5225978,Darwin Glacier,9
http://www.wikidata.org/entity/Q7990135,Wetmore Glacier,9
http://www.wikidata.org/entity/Q8032203,Wood Glacier,9
http://www.wikidata.org/entity/Q8059436,Yozola Glacier,9
http://www.wikidata.org/entity/Q5254039,Delius Glacier,9
http://www.wikidata.org/entity/Q5260797,Depot Glacier,9
http://www.wikidata.org/entity/Q5298737,Dorrer Glacier,9
http://www.wikidata.org/entity/Q5312503,Dugdale Glacier,9
http://www.wikidata.org/entity/Q5320165,Dålk Glacier,9
http://www.wikidata.org/entity/Q5333286,Ecology Glacier,9
http://www.wikidata.org/entity/Q5370179,Embree Glacier,9
http://www.wikidata.org/entity/Q8964182,Northeast Glacier,9
http://www.wikidata.org/entity/Q5454797,Fisher Glacier,9
http://www.wikidata.org/entity/Q5506557,Fry Glacier,9
http://www.wikidata.org/entity/Q11829817,Ising Glacier,9
http://www.wikidata.org/entity/Q5558961,Gibbs Glacier,9
http://www.wikidata.org/entity/Q5560927,Gilbert Glacier,9
http://www.wikidata.org/entity/Q5594005,Gran Glacier,9
http://www.wikidata.org/entity/Q5607617,Gressitt Glacier,9
